Event,Pid,RT,HumanProbability,SequencePosition,Suspect,WitnessGender,Claim,Context,ContextDegree,ContextCat
3,767850,25771.0299999453,1,0,1,3,3,0,NaN,NaN
8,767850,4356.47500003688,1,1,1,1,1,0,NaN,NaN
13,767850,2596.46000014618,1,2,1,0,0,0,1,1
16,767850,10995.9249999374,5,3,1,1,1,0,0.5,NaN
20,767850,6220.04000004381,5,4,1,1,0,0,0.666666666666667,1
24,767850,3448.02499981597,10,5,1,0,1,0,0.5,NaN
28,767850,3611.23499996029,10,6,1,0,0,0,0.6,1
32,767850,2795.69000005722,5,7,1,1,0,0,0.5,NaN
36,767850,2456.06999984011,3,8,1,1,0,0,0.428571428571429,0
40,767850,2555.14999991283,1,9,1,0,0,0,0.375,0
44,767850,3129.71500004642,3,10,1,0,1,0,0.333333333333333,0
187,767852,17043.9000000479,55,0,1,3,3,0,NaN,NaN
192,767852,8651.00000001257,50,1,1,0,0,0,NaN,NaN
196,767852,11511.3000000129,50,2,1,1,1,0,0,0
200,767852,14842.1000000089,45,3,1,1,0,0,0.5,NaN
204,767852,10835.2000000305,50,4,1,0,1,0,0.333333333333333,0
208,767852,10714.0999999829,40,5,1,1,0,0,0.5,NaN
212,767852,7649.79999995558,36,6,1,0,0,0,0.4,0
216,767852,8709.90000001621,30,7,1,0,0,0,0.333333333333333,0
220,767852,4727.4000000325,40,8,1,0,1,0,0.285714285714286,0
224,767852,20336.500000034,35,9,1,1,1,0,0.375,0
228,767852,11586.8999999948,25,10,1,1,0,0,0.444444444444444,0
1568,767853,6739,36,0,1,3,3,0,NaN,NaN
1573,767853,6467,24,1,1,0,1,0,NaN,NaN
1578,767853,3076,29,2,1,1,0,0,1,1
1581,767853,1990,35,3,1,0,0,0,0.5,NaN
1585,767853,2004,28,4,1,1,1,0,0.333333333333333,0
1589,767853,2359,33,5,1,1,1,0,0.5,NaN
1593,767853,1759,27,6,1,1,0,0,0.6,1
1597,767853,1673,28,7,1,0,0,0,0.5,NaN
1601,767853,2901,29,8,1,1,0,0,0.428571428571429,0
1605,767853,2359,29,9,1,0,0,0,0.375,0
1609,767853,1841,26,10,1,0,1,0,0.333333333333333,0
141,767856,13176.0249999352,50,0,1,3,3,0,NaN,NaN
146,767856,11963.5599998292,10,1,1,1,0,0,NaN,NaN
150,767856,9714.58999998868,30,2,1,0,1,0,0,0
154,767856,5983.38500014506,10,3,1,1,0,0,0.5,NaN
158,767856,10128.0000000261,30,4,1,1,0,0,0.333333333333333,0
162,767856,7298.32500009798,10,5,1,0,0,0,0.25,0
166,767856,9047.71000007167,30,6,1,1,1,0,0.2,0
170,767856,5188.06999991648,10,7,1,0,0,0,0.333333333333333,0
174,767856,8798.14500012435,30,8,1,0,1,0,0.285714285714286,0
178,767856,5962.53999997862,30,9,1,1,1,0,0.375,0
182,767856,6798.68000000715,10,10,1,0,0,0,0.444444444444444,0
49,767862,6760.09999999997,37,0,1,3,3,0,NaN,NaN
54,767862,10884.1,32,1,1,0,1,0,NaN,NaN
58,767862,6016.99999999983,33,2,1,1,1,0,1,1
62,767862,6522.10000000014,30,3,1,0,0,0,1,1
66,767862,3206.69999999996,33,4,1,1,0,0,0.666666666666667,1
70,767862,3991.40000000011,35,5,1,1,0,0,0.5,NaN
74,767862,2986.60000000018,35,6,1,0,0,0,0.4,0
78,767862,2174.70000000003,35,7,1,0,0,0,0.333333333333333,0
82,767862,5093.89999999985,36,8,1,1,1,0,0.285714285714286,0
86,767862,12166.6,14,9,1,1,0,0,0.375,0
90,767862,4096.5000000001,38,10,1,0,1,0,0.333333333333333,0
95,767864,18929.67,70,0,1,3,3,0,NaN,NaN
100,767864,7897.54999999991,68,1,1,0,1,0,NaN,NaN
104,767864,5227.13999999996,76,2,1,1,1,0,1,1
108,767864,7192.04000000014,37,3,1,0,0,0,1,1
112,767864,4056.25000000009,29,4,1,1,0,0,0.666666666666667,1
116,767864,6274.85999999999,29,5,1,1,0,0,0.5,NaN
120,767864,5164.10499999984,36,6,1,0,0,0,0.4,0
124,767864,5136.99999999994,27,7,1,1,0,0,0.333333333333333,0
128,767864,6740.97500000015,65,8,1,0,1,0,0.285714285714286,0
132,767864,6028.88000000006,27,9,1,0,0,0,0.375,0
136,767864,2502.27499999982,78,10,1,1,1,0,0.333333333333333,0
233,767866,19458,8,0,1,3,3,0,NaN,NaN
238,767866,8627,1,1,1,1,0,0,NaN,NaN
242,767866,12295,50,2,1,0,1,0,0,0
246,767866,12933,8,3,1,0,0,0,0.5,NaN
250,767866,8827,8,4,1,1,0,0,0.333333333333333,0
254,767866,9512,47,5,1,1,1,0,0.25,0
258,767866,4957,48,6,1,1,1,0,0.4,0
262,767866,8797,8,7,1,0,0,0,0.5,NaN
266,767866,3807,46,8,1,0,1,0,0.428571428571429,0
270,767866,7144,8,9,1,1,0,0,0.5,NaN
